493 - street - 152
494 - pleased - 152
495 - somewhere - 152
496 - girls - 152
497 - dragon - 151
498 - expected - 151
499 - cried - 151
500 - power - 151
501 - laughter - 150
502 - teacher - 149
503 - picked - 149
504 - somebody - 149
505 - severus - 149
506 - winky - 149
507 - summer - 148
508 - spells - 148
509 - apart - 148
510 - giant - 148
511 - hogsmeade - 148
512 - pomfrey - 148
513 - closer - 147
514 - break - 147
515 - jumped - 147
516 - difficult - 147
517 - today - 147
518 - simply - 147
519 - malfoy’s - 147
520 - bottle - 146
521 - laughing - 146
522 - merely - 146
523 - truth - 145
524 - stomach - 144
525 - fight - 144
526 - wants - 144
527 - actually - 144
528 - beyond - 144
529 - wondered - 143
530 - dinner - 142
531 - heavy - 142
532 - scrimgeour - 142
533 - karkaroff - 142
534 - screamed - 141
535 - gasped - 141
536 - carefully - 140
537 - alive - 140
538 - arthur - 140
539 - remembered - 140
540 - breakfast - 140
541 - certainly - 140
542 - whatever - 139
543 - leapt - 139
544 - they’d - 139
545 - myself - 139
546 - starting - 139
547 - terrible - 139
548 - hospital - 139
549 - aside - 138
550 - needed - 138
551 - catch - 137
552 - reason - 137
553 - teachers - 137
554 - seeing - 137
555 - worry - 137
556 - hasn’t - 137
557 - become - 137
558 - remained - 137
559 - neither - 137
560 - horcrux - 137
561 - field - 136
562 - daily - 136
563 - joined - 136
564 - lavender - 136
565 - allowed - 135
566 - weren’t - 135
567 - smiled - 135
568 - direction - 134
569 - picture - 134
570 - knees - 134
571 - tightly - 134
572 - clutching - 134
573 - surprise - 134
574 - lessons - 134
575 - information - 134
576 - lucius - 134
577 - speaking - 133
578 - granger - 133
579 - surprised - 133
580 - climbed - 133
581 - mirror - 133
582 - living - 132
583 - worried - 132
584 - throat - 132
585 - slipped - 132
586 - working - 132
587 - upstairs - 131
588 - decided - 131
589 - you-know-who - 131
590 - anymore - 131
591 - goblin - 131
592 - ravenclaw - 131
593 - mundungus - 131
594 - griphook - 131
595 - attack - 130
596 - sharply - 130
597 - they’ll - 130
598 - teeth - 129
599 - sense - 129
600 - sister - 129
601 - following - 129
602 - quill - 128
603 - forehead - 128
604 - gazing - 128
605 - hiding - 128
606 - sleep - 128
607 - keeping - 128
608 - itself - 128
609 - bring - 128
610 - forgotten - 128
611 - opposite - 127
